,brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,estimated_range,range_diff_pct,range_per_kWh,speed_efficiency_ratio,performance_index,range_category,charge_rate_kw_per_kWh,eco_score,battery_capacity_binned,range_binned,battery_capacity_binarized,range_binarized
276,NIO,ET7 Long Range,200,90.0,Lithium-ion,850.0,178,505,3.8,100.0,CCS,2000.0,363,5,AWD,F - Luxury,Sedan,505.6179775280899,0.12237178774057611,5.611111111111111,1.1235955056179776,52.631578947368425,Gjatë,1.1111111111111112,3.195265786188317,3,3,1.0,1
277,NIO,ET7 Standard Range,200,73.5,Lithium-ion,850.0,191,415,3.8,110.0,CCS,2000.0,363,5,AWD,F - Luxury,Sedan,384.81675392670155,7.2730713429634815,5.64625850340136,1.0471204188481675,52.631578947368425,Mesatar,1.4965986394557824,3.189896956302499,2,2,1.0,1
278,Nissan,Ariya 63kWh,160,63.0,Lithium-ion,300.0,175,335,7.5,90.0,CCS,750.0,468,5,FWD,JC - Medium,SUV,360.0,7.462686567164178,5.317460317460317,0.9142857142857143,21.333333333333332,Mesatar,1.4285714285714286,2.95968253968254,2,1,1.0,1
279,Nissan,Ariya 87kWh,160,87.0,Lithium-ion,300.0,169,450,7.6,110.0,CCS,750.0,468,5,FWD,JC - Medium,SUV,514.792899408284,14.398422090729785,5.172413793103448,0.9467455621301775,21.05263157894737,Mesatar,1.264367816091954,2.8965463546644616,3,2,1.0,1
280,Nissan,Ariya e-4ORCE 87kWh - 225 kW,200,87.0,Lithium-ion,600.0,190,405,5.7,110.0,CCS,1500.0,415,5,AWD,JC - Medium,SUV,457.89473684210526,13.060428849902534,4.655172413793103,1.0526315789473684,35.08771929824561,Mesatar,1.264367816091954,2.678463399879008,3,2,1.0,1
281,Nissan,Ariya e-4ORCE 87kWh - 320 kW Nismo,200,87.0,Lithium-ion,600.0,209,385,5.0,110.0,CCS,,415,5,AWD,JC - Medium,SUV,416.26794258373207,8.121543528242094,4.425287356321839,0.9569377990430622,40.0,Mesatar,1.264367816091954,2.539725017873838,3,2,1.0,1
282,Nissan,Townstar EV Passenger,132,45.0,Lithium-ion,245.0,158,225,12.6,50.0,CCS,1500.0,819,5,FWD,N - Passenger Van,Small Passenger Van,284.8101265822785,26.58227848101266,5.0,0.8354430379746836,10.476190476190476,Shkurt,1.1111111111111112,2.766505927265421,1,0,1.0,1
283,Nissan,Townstar EV Passenger L2,130,45.0,Lithium-ion,245.0,173,220,13.3,50.0,CCS,1500.0,819,7,FWD,N - Passenger Van,Small Passenger Van,260.11560693641616,18.23436678928007,4.888888888888889,0.7514450867052023,9.774436090225564,Shkurt,1.1111111111111112,2.684915564440968,1,0,1.0,1
284,Omoda,E5,172,61.0,Lithium-ion,340.0,152,345,7.6,60.0,CCS,,380,5,FWD,JC - Medium,SUV,401.3157894736842,16.323417238749048,5.655737704918033,1.131578947368421,22.63157894736842,Mesatar,0.9836065573770492,3.1936583261432268,2,1,1.0,1
285,Opel,Astra Electric,170,50.8,Lithium-ion,270.0,128,320,9.2,85.0,CCS,0.0,352,5,FWD,C - Medium,Hatchback,396.875,24.0234375,6.299212598425197,1.328125,18.47826086956522,Mesatar,1.673228346456693,3.5697829296473813,1,1,1.0,1
286,Opel,Astra Sports Tourer Electric,170,50.8,Lithium-ion,270.0,123,310,9.3,85.0,CCS,0.0,516,5,FWD,C - Medium,Station/Estate,413.0081300813008,33.22842905848413,6.10236220472441,1.3821138211382114,18.279569892473116,Mesatar,1.673228346456693,3.4873206250477544,1,1,1.0,1
287,Opel,Combo-e Life 50 kWh,135,50.0,Lithium-ion,260.0,149,235,11.3,80.0,CCS,750.0,775,5,FWD,N - Passenger Van,Small Passenger Van,335.5704697986577,42.795944595173495,4.7,0.9060402684563759,11.946902654867255,Shkurt,1.6,2.6395111955811608,1,0,1.0,1
